Date_SingleModel,Home_SingleModel,Away_SingleModel,ActualWinner_SingleModel,PredictedWinner_SingleModel,ActualSpread_SingleModel,PredictedSpread_SingleModel,SpreadError_SingleModel,Correct_SingleModel,HomePoints_SingleModel,AwayPoints_SingleModel,PredictedHomePoints_SingleModel,PredictedAwayPoints_SingleModel,Date_weekBatchRetrain,Home_weekBatchRetrain,Away_weekBatchRetrain,ActualWinner_weekBatchRetrain,PredictedWinner_weekBatchRetrain,ActualSpread_weekBatchRetrain,PredictedSpread_weekBatchRetrain,SpreadError_weekBatchRetrain,Correct_weekBatchRetrain,HomePoints_weekBatchRetrain,AwayPoints_weekBatchRetrain,PredictedHomePoints_weekBatchRetrain,PredictedAwayPoints_weekBatchRetrain
2024-12-08,San Antonio Spurs,New Orleans Pelicans,San Antonio Spurs,San Antonio Spurs,5.0,8.6,3.5999999999999996,True,121.0,116.0,121.5,112.9,2024-12-08,San Antonio Spurs,New Orleans Pelicans,San Antonio Spurs,San Antonio Spurs,5.0,13.8,8.8,True,121.0,116.0,121.8,108.0
2024-12-08,Atlanta Hawks,Denver Nuggets,Denver Nuggets,Denver Nuggets,30.0,12.3,17.7,True,111.0,141.0,113.9,126.2,2024-12-08,Atlanta Hawks,Denver Nuggets,Denver Nuggets,Denver Nuggets,30.0,8.2,21.8,True,111.0,141.0,120.4,128.6
2024-12-08,Indiana Pacers,Charlotte Hornets,Charlotte Hornets,Indiana Pacers,4.0,4.5,0.5,False,109.0,113.0,116.2,111.6,2024-12-08,Indiana Pacers,Charlotte Hornets,Charlotte Hornets,Indiana Pacers,4.0,2.4,1.6,False,109.0,113.0,119.9,117.5
2024-12-08,Brooklyn Nets,Milwaukee Bucks,Milwaukee Bucks,Milwaukee Bucks,5.0,9.7,4.699999999999999,True,113.0,118.0,107.2,116.8,2024-12-08,Brooklyn Nets,Milwaukee Bucks,Milwaukee Bucks,Milwaukee Bucks,5.0,5.6,0.5999999999999996,True,113.0,118.0,108.7,114.2
2024-12-08,Chicago Bulls,Philadelphia 76ers,Philadelphia 76ers,Philadelphia 76ers,8.0,6.2,1.7999999999999998,True,100.0,108.0,104.4,110.6,2024-12-08,Chicago Bulls,Philadelphia 76ers,Philadelphia 76ers,Philadelphia 76ers,8.0,8.8,0.8000000000000007,True,100.0,108.0,110.0,118.9
2024-12-08,Miami Heat,Cleveland Cavaliers,Miami Heat,Cleveland Cavaliers,9.0,0.2,8.8,False,122.0,113.0,117.8,118.0,2024-12-08,Miami Heat,Cleveland Cavaliers,Miami Heat,Miami Heat,9.0,5.3,3.7,True,122.0,113.0,122.2,117.0
2024-12-07,Boston Celtics,Memphis Grizzlies,Memphis Grizzlies,Boston Celtics,6.0,2.4,3.6,False,121.0,127.0,121.7,119.3,2024-12-07,Boston Celtics,Memphis Grizzlies,Memphis Grizzlies,Boston Celtics,6.0,12.5,6.5,False,121.0,127.0,125.7,113.2
2024-12-07,Miami Heat,Phoenix Suns,Miami Heat,Miami Heat,10.0,11.3,1.3000000000000007,True,121.0,111.0,120.2,108.9,2024-12-07,Miami Heat,Phoenix Suns,Miami Heat,Miami Heat,10.0,9.0,1.0,True,121.0,111.0,119.2,110.2
2024-12-07,Toronto Raptors,Dallas Mavericks,Dallas Mavericks,Dallas Mavericks,7.0,5.6,1.4000000000000004,True,118.0,125.0,116.1,121.7,2024-12-07,Toronto Raptors,Dallas Mavericks,Dallas Mavericks,Dallas Mavericks,7.0,0.8,6.2,True,118.0,125.0,122.2,123.0
2024-12-07,New York Knicks,Detroit Pistons,Detroit Pistons,New York Knicks,9.0,3.9,5.1,False,111.0,120.0,122.9,118.9,2024-12-07,New York Knicks,Detroit Pistons,Detroit Pistons,New York Knicks,9.0,9.2,0.1999999999999993,False,111.0,120.0,124.5,115.3
2024-12-07,Charlotte Hornets,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,14.0,11.9,2.0999999999999996,True,102.0,116.0,99.6,111.6,2024-12-07,Charlotte Hornets,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,14.0,2.9,11.1,True,102.0,116.0,102.9,105.8
2024-12-07,New Orleans Pelicans,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,10.0,16.4,6.399999999999999,True,109.0,119.0,101.2,117.6,2024-12-07,New Orleans Pelicans,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,10.0,11.9,1.9000000000000004,True,109.0,119.0,102.8,114.7
2024-12-07,Washington Wizards,Denver Nuggets,Washington Wizards,Denver Nuggets,9.0,13.5,4.5,False,122.0,113.0,111.5,125.0,2024-12-07,Washington Wizards,Denver Nuggets,Washington Wizards,Denver Nuggets,9.0,16.7,7.699999999999999,False,122.0,113.0,103.4,120.1
2024-12-06,Portland Trail Blazers,Utah Jazz,Utah Jazz,Utah Jazz,42.0,15.0,27.0,True,99.0,141.0,110.0,125.0,2024-12-06,Portland Trail Blazers,Utah Jazz,Utah Jazz,Portland Trail Blazers,42.0,2.6,39.4,False,99.0,141.0,119.6,117.0
2024-12-06,Golden State Warriors,Minnesota Timberwolves,Minnesota Timberwolves,Minnesota Timberwolves,17.0,7.3,9.7,True,90.0,107.0,100.1,107.4,2024-12-06,Golden State Warriors,Minnesota Timberwolves,Minnesota Timberwolves,Minnesota Timberwolves,17.0,0.6,16.4,True,90.0,107.0,100.9,101.6
2024-12-06,San Antonio Spurs,Sacramento Kings,Sacramento Kings,Sacramento Kings,27.0,12.8,14.2,True,113.0,140.0,113.9,126.7,2024-12-06,San Antonio Spurs,Sacramento Kings,Sacramento Kings,Sacramento Kings,27.0,7.4,19.6,True,113.0,140.0,111.5,118.9
2024-12-06,Chicago Bulls,Indiana Pacers,Indiana Pacers,Indiana Pacers,9.0,1.0,8.0,True,123.0,132.0,126.0,127.0,2024-12-06,Chicago Bulls,Indiana Pacers,Indiana Pacers,Chicago Bulls,9.0,1.2,7.8,False,123.0,132.0,126.2,125.0
2024-12-06,Boston Celtics,Milwaukee Bucks,Boston Celtics,Boston Celtics,6.0,10.1,4.1,True,111.0,105.0,116.7,106.6,2024-12-06,Boston Celtics,Milwaukee Bucks,Boston Celtics,Boston Celtics,6.0,17.5,11.5,True,111.0,105.0,119.7,102.2
2024-12-06,Atlanta Hawks,Los Angeles Lakers,Atlanta Hawks,Los Angeles Lakers,2.0,0.5,1.5,False,134.0,132.0,121.4,121.9,2024-12-06,Atlanta Hawks,Los Angeles Lakers,Atlanta Hawks,Atlanta Hawks,2.0,0.1,1.9,True,134.0,132.0,115.6,115.4
2024-12-06,Philadelphia 76ers,Orlando Magic,Philadelphia 76ers,Orlando Magic,8.0,0.2,7.8,False,102.0,94.0,100.0,100.2,2024-12-06,Philadelphia 76ers,Orlando Magic,Philadelphia 76ers,Orlando Magic,8.0,3.6,4.4,False,102.0,94.0,98.5,102.1
2024-12-05,Memphis Grizzlies,Sacramento Kings,Memphis Grizzlies,Memphis Grizzlies,5.0,6.5,1.5,True,115.0,110.0,113.1,106.7,2024-12-05,Memphis Grizzlies,Sacramento Kings,Memphis Grizzlies,Memphis Grizzlies,5.0,8.3,3.3000000000000007,True,115.0,110.0,120.2,111.9
2024-12-05,New Orleans Pelicans,Phoenix Suns,New Orleans Pelicans,New Orleans Pelicans,2.0,0.7,1.3,True,126.0,124.0,119.1,118.4,2024-12-05,New Orleans Pelicans,Phoenix Suns,New Orleans Pelicans,Phoenix Suns,2.0,1.9,0.10000000000000009,False,126.0,124.0,110.2,112.1
2024-12-05,Golden State Warriors,Houston Rockets,Golden State Warriors,Golden State Warriors,6.0,2.0,4.0,True,99.0,93.0,104.5,102.5,2024-12-05,Golden State Warriors,Houston Rockets,Golden State Warriors,Golden State Warriors,6.0,4.8,1.2000000000000002,True,99.0,93.0,112.4,107.6
2024-12-05,San Antonio Spurs,Chicago Bulls,Chicago Bulls,Chicago Bulls,15.0,1.2,13.8,True,124.0,139.0,127.7,128.9,2024-12-05,San Antonio Spurs,Chicago Bulls,Chicago Bulls,San Antonio Spurs,15.0,1.7,13.3,False,124.0,139.0,122.8,121.1
2024-12-05,New York Knicks,Charlotte Hornets,New York Knicks,New York Knicks,24.0,22.9,1.1000000000000014,True,125.0,101.0,126.2,103.2,2024-12-05,New York Knicks,Charlotte Hornets,New York Knicks,New York Knicks,24.0,15.5,8.5,True,125.0,101.0,126.6,111.1
2024-12-05,Washington Wizards,Dallas Mavericks,Dallas Mavericks,Dallas Mavericks,36.0,19.8,16.2,True,101.0,137.0,108.4,128.1,2024-12-05,Washington Wizards,Dallas Mavericks,Dallas Mavericks,Dallas Mavericks,36.0,16.9,19.1,True,101.0,137.0,102.0,118.8
2024-12-05,Cleveland Cavaliers,Denver Nuggets,Cleveland Cavaliers,Cleveland Cavaliers,12.0,7.9,4.1,True,126.0,114.0,124.9,117.0,2024-12-05,Cleveland Cavaliers,Denver Nuggets,Cleveland Cavaliers,Cleveland Cavaliers,12.0,10.1,1.9000000000000004,True,126.0,114.0,132.2,122.1
2024-12-05,Toronto Raptors,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,37.0,19.1,17.9,True,92.0,129.0,101.6,120.6,2024-12-05,Toronto Raptors,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,37.0,9.2,27.8,True,92.0,129.0,106.3,115.5
2024-12-04,Los Angeles Clippers,Minnesota Timberwolves,Minnesota Timberwolves,Minnesota Timberwolves,28.0,7.4,20.6,True,80.0,108.0,95.2,102.6,2024-12-04,Los Angeles Clippers,Minnesota Timberwolves,Minnesota Timberwolves,Los Angeles Clippers,28.0,6.8,21.2,False,80.0,108.0,104.5,97.6
2024-12-04,Milwaukee Bucks,Atlanta Hawks,Atlanta Hawks,Atlanta Hawks,15.0,3.0,12.0,True,104.0,119.0,109.3,112.2,2024-12-04,Milwaukee Bucks,Atlanta Hawks,Atlanta Hawks,Milwaukee Bucks,15.0,4.5,10.5,False,104.0,119.0,118.0,113.5
2024-12-04,Philadelphia 76ers,Orlando Magic,Orlando Magic,Orlando Magic,4.0,2.2,1.7999999999999998,True,102.0,106.0,100.6,102.8,2024-12-04,Philadelphia 76ers,Orlando Magic,Orlando Magic,Orlando Magic,4.0,5.8,1.7999999999999998,True,102.0,106.0,98.0,103.8
2024-12-04,Miami Heat,Los Angeles Lakers,Miami Heat,Miami Heat,41.0,21.8,19.2,True,134.0,93.0,122.7,100.9,2024-12-04,Miami Heat,Los Angeles Lakers,Miami Heat,Miami Heat,41.0,13.5,27.5,True,134.0,93.0,112.6,99.2
